Year,blueline1,blueline2,blueline3,blueline4,blueline5,blueline6,redline1,redline2,redline3,redline4,redline5,redline6,Precipitation,Temperature,BW,GW,Region,Scenario
2086,81.57989316,75.17117521,101.5553419,73.30636752,82.81606838,67.83183761,18.1515797,18.42106239,18.23709615,19.88405171,18.83310983,19.13680769,67.83183761,19.13680769,7.620214316,57.60289786,1Crop Lands,CNRM-SSP126
2087,97.31277778,72.29260684,84.85064103,58.5374359,69.50053419,40.61551282,18.27541838,17.41156645,16.92707137,18.8256906,17.62616261,20.48528333,40.61551282,20.48528333,3.691932906,41.27233162,1Crop Lands,CNRM-SSP126
2088,69.21023504,86.22211538,70.42912393,58.37369658,60.75521368,49.89269231,18.40626944,17.77476261,17.33256303,19.05188355,17.54472671,19.74171624,49.89269231,19.74171624,6.904647222,52.78993376,1Crop Lands,CNRM-SSP126
2089,80.53380342,70.68792735,72.28215812,77.11773504,65.07899573,89.70002137,17.10146902,16.66707094,17.77772564,17.92243013,17.70831645,18.32098355,89.70002137,18.32098355,9.150145299,61.77111752,1Crop Lands,CNRM-SSP126
2090,79.32773504,85.0333547,84.59267094,83.7424359,64.1649359,81.1840812,18.32164316,16.76892714,17.59759637,19.74676667,18.5675297,16.81109893,81.1840812,16.81109893,12.82713034,67.69802885,1Crop Lands,CNRM-SSP126
2091,78.99630342,74.30893162,47.91044872,54.8324359,65.22876068,37.58754274,17.17924551,17.52811688,19.84224765,19.94893013,17.57296774,19.4501265,37.58754274,19.4501265,4.264364316,46.23464209,1Crop Lands,CNRM-SSP126
2092,66.07837607,94.45314103,86.24547009,70.23673077,63.49442308,48.74551282,17.05710235,17.45194103,17.67471624,18.6514515,17.49532457,20.29057607,48.74551282,20.29057607,3.928473291,43.31231667,1Crop Lands,CNRM-SSP126
2093,85.88792735,78.62792735,86.16220085,80.57273504,85.53623932,56.21641026,17.73302073,17.00846902,17.08918739,19.79756603,17.42676453,20.75407179,56.21641026,20.75407179,5.575603419,53.3380391,1Crop Lands,CNRM-SSP126
2094,87.85564103,60.80134615,82.60679487,62.94504274,60.75649573,66.69,17.30604744,19.21620385,17.63350214,19.90031218,18.41469979,17.40495513,66.69,17.40495513,9.123887821,58.92685235,1Crop Lands,CNRM-SSP126
2095,72.01284188,50.70985043,86.42245726,58.94393162,86.05017094,25.0424359,17.37338184,18.82296645,18.42119594,17.97427137,16.32697115,20.4869203,25.0424359,20.4869203,2.177966026,32.19711517,1Crop Lands,CNRM-SSP126
